Fuel type,N2/N3,Weghit,Standart,COLD,% CAR,70-Motorway - City- Freeflow,80-Motorway - City- Freeflow,90-Motorway - City- Freeflow,70-Motorway - City-Heavy,80-Motorway - City-Heavy,90-Motorway - City-Heavy,70-Motorway - City- Stop & Go,80-Motorway - City- Stop & Go,90-Motorway - City- Stop & Go,50-Distributor / Secondary- Freeflow,60-Distributor / Secondary- Freeflow,70-Distributor / Secondary- Freeflow,50-Distributor / Secondary- Heavy,60-Distributor / Secondary- Heavy,70-Distributor / Secondary- Heavy,50-Distributor / Secondary- Stop & Go,60-Distributor / Secondary- Stop & Go,70-Distributor / Secondary- Stop & Go,30-Access Residential-Freeflow,40-Access Residential-Freeflow,50-Access Residential-Freeflow,30-Access Residential-Heavy,40-Access Residential-Heavy,50-Access Residential-Heavy,30-Access Residential- Stop & Go,40-Access Residential- Stop & Go,50-Access Residential- Stop & Go,90- National- Freeflow,100- National- Freeflow,110- National- Freeflow,90- National- Heavy,100- National- Heavy,110- National- Heavy,90- National- Stop & Go,100- National- Stop & Go,110- National- Stop & Go
Diesel,N3,12001 - 14000 kg,Euro 3,70.716009,0.000906413,420.6,459.65,474.96,409.68,431.28,439.16,1028.18,863.38,863.38,473.55,460.17,509.02,558.15,468.09,493.9,1028.18,1028.18,954.07,686.46,660.27,552.98,702.87,665,621.86,1028.18,1028.18,1028.18,478.62,498.65,498.65,450.84,466.07,466.07,863.38,863.38,863.38
Diesel,N3,12001 - 14000 kg,Euro 4,70.716009,0.000906413,406.99,444.46,459.02,391.34,416.6,425.59,891.27,767.7,767.7,445.15,441.33,496.56,506.6,437.85,471.52,891.27,891.27,827.31,635.44,620.92,503.92,643.72,611.04,578.34,891.27,891.27,891.27,457.83,484.28,484.28,435.76,448.37,448.37,767.7,767.7,767.7
Diesel,N3,12001 - 14000 kg,Euro 6,70.716009,0.01288978,404.7,441.26,455.52,390.36,414.15,422.44,915.01,791.71,791.71,446.75,442.37,497.41,509.5,442.18,474.57,915.01,915.01,851.79,649.57,619.59,506.82,657.83,623.92,578.99,915.01,915.01,915.01,452.62,480.52,480.52,433.04,445.44,445.44,791.71,791.71,791.71
Diesel,N3,14001 - 20000 kg,Euro 0,70.716009,0.004985271,587.45,614.59,631.16,594.6,595.23,598.83,1747.1,1389.08,1389.08,731.45,684.09,705.5,845.65,790.27,728.97,1747.1,1747.1,1590.22,1116.69,978.62,835.26,1155.45,1067.32,932.78,1747.1,1747.1,1747.1,637.85,651.56,651.56,613.66,626.78,626.78,1389.08,1389.08,1389.08
Diesel,N3,14001 - 20000 kg,Euro 1,70.716009,0.014955812,499.32,532.55,547.09,494.6,509.24,514.71,1343.11,1106.97,1106.97,581.14,553.95,595.09,696.77,591.14,594.57,1343.11,1343.11,1243.13,880,814.79,688.92,910.78,831.04,764.38,1343.11,1343.11,1343.11,528.23,545.73,545.73,518.65,531.16,531.16,1106.97,1106.97,1106.97
Diesel,N3,14001 - 20000 kg,Euro 2,70.716009,0.020167686,486.78,519.18,533.18,480.19,496.87,502.31,1241.13,1039.75,1039.75,561.22,536.29,578.28,665.54,560.11,573.83,1241.13,1241.13,1158.04,831.03,781.56,658.68,856.56,785.8,736.54,1241.13,1241.13,1241.13,513.04,531.52,531.52,505.27,517.18,517.18,1039.75,1039.75,1039.75
Diesel,N3,14001 - 20000 kg,Euro 3,70.716009,0.042148199,496.65,530.25,546.17,493,508.02,512,1336.4,1104.23,1104.23,592.03,561.08,606.07,701.57,593.46,604.79,1336.4,1336.4,1239.51,890.83,826.22,694.34,917.69,847.83,782.21,1336.4,1336.4,1336.4,540.58,560.84,560.84,518.55,533.05,533.05,1104.23,1104.23,1104.23
Diesel,N3,14001 - 20000 kg,Euro 4,70.716009,0.037162928,474.84,509.17,522.56,466.28,485.18,491.89,1140.67,963.72,963.72,550.08,531.69,583.97,630.43,551.41,568.91,1140.67,1140.67,1065.41,814.83,765.07,626.65,829.87,768.35,721,1140.67,1140.67,1140.67,509.9,537.14,537.14,499.18,510.36,510.36,963.72,963.72,963.72
Diesel,N3,14001 - 20000 kg,Euro 5,70.716009,0.048266485,475.03,507.2,520.35,468.94,485.3,490.54,1189.47,1004.73,1004.73,558.27,536.99,586.04,637.67,563.32,577.09,1189.47,1189.47,1111.17,836.86,766.6,633.68,852.8,802.43,732.87,1189.47,1189.47,1189.47,512.18,536.3,536.3,497.81,509.15,509.15,1004.73,1004.73,1004.73
Diesel,N3,14001 - 20000 kg,Euro 6,70.716009,0.104464083,472.78,506.75,521.11,465.78,483.13,488.06,1171.18,996.08,996.08,552.56,533.75,583.28,633.21,558.39,574.38,1171.18,1171.18,1099.86,829.92,761.4,629.46,845.8,793.08,726.93,1171.18,1171.18,1171.18,515.35,541.83,541.83,497.17,510.07,510.07,996.08,996.08,996.08
Diesel,N3,20001 - 26000 kg,Euro 0,70.716009,0.003852255,701.48,711.01,725.48,701.42,702.74,702.88,2076.55,1662.17,1662.17,874.82,816.58,859.6,1003.8,900.89,876.4,2076.55,2076.55,1878.66,1308.03,1218.57,991.59,1344.88,1289.85,1140.55,2076.55,2076.55,2076.55,706.43,724.99,724.99,701.26,710.7,710.7,1662.17,1662.17,1662.17
Diesel,N3,20001 - 26000 kg,Euro 1,70.716009,0.009064129,617.6,638.58,651.77,611.15,624.63,626.41,1694.83,1402.28,1402.28,735.23,694.47,747.08,874.35,721.13,746.36,1694.83,1694.83,1554.59,1090.83,1053.87,865.02,1121.78,1053.83,976.35,1694.83,1694.83,1694.83,608.27,627.39,627.39,617.45,627.07,627.07,1402.28,1402.28,1402.28
Diesel,N3,20001 - 26000 kg,Euro 2,70.716009,0.006571493,604.75,626.78,640.92,597.56,611.95,614.41,1575.15,1332.17,1332.17,713.59,675.78,730.9,847.7,687.34,725.45,1575.15,1575.15,1460.41,1042.54,1017.13,839.46,1067.57,1011.21,942.46,1575.15,1575.15,1575.15,595.33,614.63,614.63,604.53,614.7,614.7,1332.17,1332.17,1332.17
Diesel,N3,20001 - 26000 kg,Euro 3,70.716009,0.023340131,618,634.44,650.62,610.93,623.2,622.95,1671.18,1397.27,1397.27,746.55,702.45,758.93,884.06,721.84,758,1671.18,1671.18,1542.92,1103.48,1061.26,875.53,1128.78,1073.24,991.03,1671.18,1671.18,1671.18,620.89,641.54,641.54,615.22,627.21,627.21,1397.27,1397.27,1397.27
Diesel,N3,20001 - 26000 kg,Euro 4,70.716009,0.022660322,586.02,612.45,626.62,575.44,594.52,599.2,1473.34,1253.35,1253.35,698.7,667.04,740.54,794.86,676.15,718.26,1473.34,1473.34,1369.59,1010.21,998.09,789.17,1024.89,984.07,920.22,1473.34,1473.34,1473.34,590.26,604.01,604.01,596.2,605.74,605.74,1253.35,1253.35,1253.35
