Fuel type,N2/N3,Weghit,Standart,% CAR,70-Motorway - City- Freeflow,80-Motorway - City- Freeflow,90-Motorway - City- Freeflow,70-Motorway - City-Heavy,80-Motorway - City-Heavy,90-Motorway - City-Heavy,70-Motorway - City- Stop & Go,80-Motorway - City- Stop & Go,90-Motorway - City- Stop & Go,50-Distributor / Secondary- Freeflow,60-Distributor / Secondary- Freeflow,70-Distributor / Secondary- Freeflow,50-Distributor / Secondary- Heavy,60-Distributor / Secondary- Heavy,70-Distributor / Secondary- Heavy,50-Distributor / Secondary- Stop & Go,60-Distributor / Secondary- Stop & Go,70-Distributor / Secondary- Stop & Go,30-Access Residential-Freeflow,40-Access Residential-Freeflow,50-Access Residential-Freeflow,30-Access Residential-Heavy,40-Access Residential-Heavy,50-Access Residential-Heavy,30-Access Residential- Stop & Go,40-Access Residential- Stop & Go,50-Access Residential- Stop & Go,90- National- Freeflow,100- National- Freeflow,110- National- Freeflow,90- National- Heavy,100- National- Heavy,110- National- Heavy,90- National- Stop & Go,100- National- Stop & Go,110- National- Stop & Go,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diesel,N3,20001 - 26000 kg,Euro 0,0,16.57,14.3,15.38,16.99,16.64,18.76,374.79,280.09,280.09,54.42,41.98,68.42,103.52,34.54,60.23,374.79,374.79,333.04,166.01,160.16,99.67,177.35,170.82,134.53,374.79,374.79,374.79,8.06,7.74,7.74,8.67,8.95,8.95,280.09,280.09,280.09,17.43,6.52,7.75,42.11,16.62,15.2,333.04,333.04,333.04,141.35,28.88,48.49,151.13,115.21,74.62,374.79,374.79,374.79,65.95,67.01,69.68,70.41,70.95,68.35,494.75,379.07,379.07
Diesel,N3,20001 - 26000 kg,Euro 1,0.01,15.26,13.16,14.21,15.81,15.47,17.24,306.23,233.29,233.29,45.84,35.54,59.04,87.69,29.56,51.18,306.23,306.23,273.83,137.66,136.59,84.75,146.3,147.5,114.76,306.23,306.23,306.23,7.41,6.77,6.77,8.02,8.26,8.26,233.29,233.29,233.29,16.23,6.28,7.3,34.53,14.61,13.32,273.83,273.83,273.83,123.18,25.89,40.94,128.68,98.28,60.97,306.23,306.23,306.23,57.57,58.46,61.16,60.78,62.07,59.98,402.63,316.77,316.77
Diesel,N3,20001 - 26000 kg,Euro 2,0.01,15.46,13.35,14.35,16.01,15.51,17.11,275.64,214.02,214.02,44.21,34.33,56.9,83.23,27.7,49.1,275.64,275.64,247.97,127.25,128.98,80.62,134.68,138.82,109.01,275.64,275.64,275.64,7.7,7.18,7.18,8.31,8.58,8.58,214.02,214.02,214.02,16.25,6.63,7.66,33.17,14.55,13.19,247.97,247.97,247.97,117.8,25.3,39.13,121.46,91.83,56.45,275.64,275.64,275.64,56.11,57.2,59.82,59.1,60.57,58.42,367.57,296.48,296.48
Diesel,N3,20001 - 26000 kg,Euro 3,0.02,23.84,19.61,20.9,25.08,23.36,25.18,308.91,235.96,235.96,58.18,45.45,66.34,97.03,41.71,60.94,308.91,308.91,276.96,150.3,145.55,94.43,158.31,159.02,125.32,308.91,308.91,308.91,15.49,13.99,13.99,15.34,15.47,15.47,235.96,235.96,235.96,24.39,13.28,14.51,42.28,23.83,21.46,276.96,276.96,276.96,131.95,38.44,50.31,139.89,105.45,70.48,308.91,308.91,308.91,62.33,60.85,63.93,65.95,66.06,63.87,400.53,316.75,316.75
Diesel,N3,20001 - 26000 kg,Euro 4,0.02,6.78,7.36,7.79,6.5,7,8.91,226.32,176.75,176.75,31.5,23.55,50.06,64.69,13.21,37.72,226.32,226.32,199.54,104.86,113.31,63.11,109.29,118.57,90.3,226.32,226.32,226.32,0.21,0.25,0.25,2.53,2.8,2.8,176.75,176.75,176.75,7.78,1.25,1.39,25.38,6.43,6.46,199.54,199.54,199.54,103.19,12.91,28.36,100.59,73.25,42.52,226.32,226.32,226.32,45.76,48.45,50.59,48.06,50.44,48.93,323.62,263.73,263.73
Diesel,N3,20001 - 26000 kg,Euro 5,0.03,6.79,7.29,7.74,6.56,6.92,8.87,262.12,207.62,207.62,32.12,24.95,49.89,67.65,13.58,40.92,262.12,262.12,224.14,112.42,112.38,66.24,116.94,126.25,98.15,262.12,262.12,262.12,0.21,0.25,0.25,2.55,2.8,2.8,207.62,207.62,207.62,7.82,1.25,1.39,28.79,6.46,6.47,224.14,224.14,224.14,106.22,12.98,31.11,108.93,79.02,44.26,262.12,262.12,262.12,45.93,48.6,50.68,48.29,50.44,49.08,358.92,295.68,295.68
Diesel,N3,20001 - 26000 kg,Euro 6,0.08,6.73,7.16,7.65,6.5,6.83,8.78,260.41,204.56,204.56,32.1,24.97,50.09,67.53,13.61,40.91,260.41,260.41,222.66,112.03,112.63,66.15,116.41,125.71,98.28,260.41,260.41,260.41,0.2,0.23,0.23,2.51,2.75,2.75,204.56,204.56,204.56,7.73,1.2,1.35,28.45,6.46,6.47,222.66,222.66,222.66,106.72,13,30.94,108.99,79.21,44.52,260.41,260.41,260.41,45.73,47.93,50.13,48.05,50.14,48.54,357.76,293.34,293.34
Diesel,N3,26001 - 28000 kg,Euro 0,0,18.26,15.43,17.33,18.83,16.82,18.31,361.89,273.87,273.87,58.18,44.48,69.76,111.03,33.13,62.05,361.89,361.89,321.64,166.02,166.83,107.54,177.04,172.05,135.84,361.89,361.89,361.89,7.93,6.63,6.63,9.03,10.79,10.79,273.87,273.87,273.87,18.04,6.94,9.58,44.39,16.7,15.23,321.64,321.64,321.64,148.24,29.59,50.16,151.76,118.36,75.83,361.89,361.89,361.89,71.44,69.72,72.53,77.07,75.79,71.45,488.67,378.88,378.88
Diesel,N3,26001 - 28000 kg,Euro 1,0.01,16.21,14.17,15.9,16.94,15.3,16.66,294.22,228,228,48.97,37.42,60.08,94.54,27.69,52.4,294.22,294.22,263.45,138.16,142.36,91.87,146.56,148.42,115.34,294.22,294.22,294.22,6.99,5.42,5.42,8.25,9.81,9.81,228,228,228,16.59,6.61,8.83,36.2,14.37,13.3,263.45,263.45,263.45,129.57,26.02,42.08,128.99,100.29,61.82,294.22,294.22,294.22,62.2,61.51,64.38,66.44,66.46,62.62,397.64,317.53,317.53
Diesel,N3,26001 - 28000 kg,Euro 2,0,15.96,14.15,15.71,17.17,15.54,16.9,267.14,209.74,209.74,47.02,36.03,58.18,88.78,27,49.98,267.14,267.14,240.81,128.03,134.42,86.45,135.39,140.41,109.43,267.14,267.14,267.14,7.59,6.18,6.18,8.44,9.78,9.78,209.74,209.74,209.74,16.76,6.86,8.91,34.61,14.6,13.2,240.81,240.81,240.81,123.94,25.88,40.28,121.63,93.68,58.13,267.14,267.14,267.14,60.23,59.95,62.66,64.07,64.18,61.06,365.59,299.19,299.19
